"ID"	"R_G"	"gene_copies"	"R_G_cutoff"	"detection_status"
"S1144_MG_055_A"	0.986367324065696	480.485011990408	0.679369498837613	"detected"
"S1145_MG_056_A"	0.987038607066955	1093.15231788079	0.67921680458077	"detected"
"S1146_MG_057_A"	0.985994554633865	35.5854103343465	0.678864747588926	"detected"
"S1147_MG_058_A"	0.990557557827568	4528.8359522313	0.677644168335168	"detected"
"S1148_MG_059_A"	0.987711331891832	269.188061617458	0.676872429354924	"detected"
"S1149_MG_060_A"	0.991075258648641	4748.09828496042	0.675860052314627	"detected"
"S1150_MG_061_A"	0.987333895477432	19.2770448548813	0.675860052314627	"detected"
"S1151_MG_062_A"	0.992097318923014	95.0221923335575	0.675140268076403	"detected"
"S1152_MG_063_A"	0.992098630973476	4957.64850615114	0.664791699755266	"detected"
"S1153_MG_064_A"	0.981905394572681	4.48	0.659519292152601	"detected"
